vehicle_id,shape_collider,length,width
92649,passenger,5,1.8
92650,delivery,6.5,2.16
92651,motorcycle,2.2,0.9
92652,delivery,6.5,2.16
92653,delivery,6.5,2.16
92654,passenger,5,1.8
92655,passenger,5,1.8
92656,bus,12,2.5
92657,delivery,6.5,2.16
92658,delivery,6.5,2.16
92659,delivery,6.5,2.16
92660,passenger,5,1.8
92661,passenger,5,1.8
92662,delivery,6.5,2.16
92663,delivery,6.5,2.16
92664,delivery,6.5,2.16
92666,passenger,5,1.8
92667,passenger,5,1.8
92668,passenger,5,1.8
92669,motorcycle,2.2,0.9
92670,motorcycle,2.2,0.9
92671,moped,2.1,0.8
92672,passenger,5,1.8
92673,passenger,5,1.8
92674,bus,12,2.5
92675,delivery,6.5,2.16
92676,motorcycle,2.2,0.9
92677,motorcycle,2.2,0.9
92678,bus,12,2.5
92679,delivery,6.5,2.16
92680,passenger,5,1.8
92681,delivery,6.5,2.16
92682,bus,12,2.5
92683,delivery,6.5,2.16
92684,passenger,5,1.8
92685,passenger,5,1.8
92686,delivery,6.5,2.16
92687,passenger,5,1.8
92688,delivery,6.5,2.16
92690,delivery,6.5,2.16
92691,passenger,5,1.8
92692,delivery,6.5,2.16
92693,passenger,5,1.8
92694,passenger,5,1.8
92695,passenger,5,1.8
92696,delivery,6.5,2.16
92697,passenger,5,1.8
92698,moped,2.1,0.8
92700,delivery,6.5,2.16
92701,delivery,6.5,2.16
92702,moped,2.1,0.8
92703,passenger,5,1.8
92705,passenger,5,1.8
92706,moped,2.1,0.8
92707,passenger,5,1.8
92708,delivery,6.5,2.16
92709,delivery,6.5,2.16
92710,passenger,5,1.8
92711,passenger,5,1.8
92712,delivery,6.5,2.16
92713,delivery,6.5,2.16
92714,motorcycle,2.2,0.9
92715,passenger,5,1.8
92716,delivery,6.5,2.16
92717,delivery,6.5,2.16
92718,moped,2.1,0.8
92719,motorcycle,2.2,0.9
92720,passenger,5,1.8
92721,moped,2.1,0.8
92722,passenger,5,1.8
92724,passenger,5,1.8
92725,passenger,5,1.8
92726,motorcycle,2.2,0.9
92727,passenger,5,1.8
92728,passenger,5,1.8
92731,passenger,5,1.8
92732,passenger,5,1.8
92733,passenger,5,1.8
92734,delivery,6.5,2.16
92735,passenger,5,1.8
92736,passenger,5,1.8
92737,delivery,6.5,2.16
92738,bus,12,2.5
92739,delivery,6.5,2.16
92740,delivery,6.5,2.16
92741,delivery,6.5,2.16
92742,delivery,6.5,2.16
92743,delivery,6.5,2.16
92744,passenger,5,1.8
92745,delivery,6.5,2.16
92746,passenger,5,1.8
92747,passenger,5,1.8
92748,delivery,6.5,2.16
92749,passenger,5,1.8
92750,moped,2.1,0.8
92751,passenger,5,1.8
92752,delivery,6.5,2.16
92753,passenger,5,1.8
92754,moped,2.1,0.8
92755,passenger,5,1.8
92756,delivery,6.5,2.16
92757,passenger,5,1.8
92758,bus,12,2.5
92759,moped,2.1,0.8
92760,bus,12,2.5
92761,delivery,6.5,2.16
92762,moped,2.1,0.8
92763,bus,12,2.5
92764,delivery,6.5,2.16
92765,delivery,6.5,2.16
92766,moped,2.1,0.8
92767,delivery,6.5,2.16
92768,motorcycle,2.2,0.9
92769,motorcycle,2.2,0.9
92770,motorcycle,2.2,0.9
92771,delivery,6.5,2.16
92773,delivery,6.5,2.16
92774,motorcycle,2.2,0.9
92775,passenger,5,1.8
92776,delivery,6.5,2.16
92777,passenger,5,1.8
92778,delivery,6.5,2.16
92779,motorcycle,2.2,0.9
92780,delivery,6.5,2.16
92781,moped,2.1,0.8
92782,delivery,6.5,2.16
92783,motorcycle,2.2,0.9
92784,moped,2.1,0.8
92785,delivery,6.5,2.16
92786,delivery,6.5,2.16
92787,passenger,5,1.8
92788,delivery,6.5,2.16
92790,passenger,5,1.8
92791,delivery,6.5,2.16
92792,motorcycle,2.2,0.9
92793,passenger,5,1.8
92794,moped,2.1,0.8
92795,motorcycle,2.2,0.9
92796,bus,12,2.5
92797,delivery,6.5,2.16
92798,delivery,6.5,2.16
92799,passenger,5,1.8
92800,delivery,6.5,2.16
92801,delivery,6.5,2.16
92802,delivery,6.5,2.16
92803,delivery,6.5,2.16
92805,bus,12,2.5
92806,motorcycle,2.2,0.9
92807,passenger,5,1.8
92808,motorcycle,2.2,0.9
92809,motorcycle,2.2,0.9
92810,delivery,6.5,2.16
92811,passenger,5,1.8
92812,passenger,5,1.8
92813,bus,12,2.5
92814,passenger,5,1.8
92815,delivery,6.5,2.16
92816,delivery,6.5,2.16
92817,passenger,5,1.8
92818,passenger,5,1.8
92819,delivery,6.5,2.16
92820,moped,2.1,0.8
92821,passenger,5,1.8
92822,delivery,6.5,2.16
92823,passenger,5,1.8
92824,passenger,5,1.8
92826,delivery,6.5,2.16
92827,passenger,5,1.8
92829,moped,2.1,0.8
92830,passenger,5,1.8
92832,passenger,5,1.8
92833,passenger,5,1.8
92834,delivery,6.5,2.16
92836,passenger,5,1.8
92837,delivery,6.5,2.16
92838,passenger,5,1.8
92840,bus,12,2.5
92841,delivery,6.5,2.16
92842,delivery,6.5,2.16
92843,delivery,6.5,2.16
92844,passenger,5,1.8
92846,motorcycle,2.2,0.9
92848,delivery,6.5,2.16
92849,passenger,5,1.8
92850,motorcycle,2.2,0.9
92851,passenger,5,1.8
92852,bus,12,2.5
92853,passenger,5,1.8
92854,motorcycle,2.2,0.9
92855,moped,2.1,0.8
92856,bus,12,2.5
92857,delivery,6.5,2.16
92858,passenger,5,1.8
92860,passenger,5,1.8
92861,delivery,6.5,2.16
92862,passenger,5,1.8
92863,passenger,5,1.8
92864,passenger,5,1.8
92865,delivery,6.5,2.16
92866,delivery,6.5,2.16
92867,passenger,5,1.8
92869,motorcycle,2.2,0.9
92870,delivery,6.5,2.16
92871,motorcycle,2.2,0.9
92872,bus,12,2.5
92873,delivery,6.5,2.16
92874,delivery,6.5,2.16
92875,delivery,6.5,2.16
92876,bus,12,2.5
92877,delivery,6.5,2.16
92878,motorcycle,2.2,0.9
92879,passenger,5,1.8
92880,delivery,6.5,2.16
92881,delivery,6.5,2.16
92882,delivery,6.5,2.16
92883,motorcycle,2.2,0.9
92885,passenger,5,1.8
92886,passenger,5,1.8
92887,moped,2.1,0.8
92888,passenger,5,1.8
92889,delivery,6.5,2.16
92891,passenger,5,1.8
92892,moped,2.1,0.8
92893,passenger,5,1.8
92894,moped,2.1,0.8
92895,motorcycle,2.2,0.9
92896,delivery,6.5,2.16
92897,passenger,5,1.8
92898,delivery,6.5,2.16
92899,passenger,5,1.8
92900,motorcycle,2.2,0.9
92901,passenger,5,1.8
92902,passenger,5,1.8
92903,passenger,5,1.8
92904,delivery,6.5,2.16
92905,moped,2.1,0.8
92906,passenger,5,1.8
92907,motorcycle,2.2,0.9
92908,delivery,6.5,2.16
92909,passenger,5,1.8
92910,passenger,5,1.8
92911,moped,2.1,0.8
92912,passenger,5,1.8
92913,delivery,6.5,2.16
92914,passenger,5,1.8
92916,moped,2.1,0.8
92917,delivery,6.5,2.16
92918,passenger,5,1.8
92919,delivery,6.5,2.16
92920,passenger,5,1.8
92921,moped,2.1,0.8
92922,passenger,5,1.8
92923,passenger,5,1.8
92924,moped,2.1,0.8
92925,delivery,6.5,2.16
92926,delivery,6.5,2.16
92927,passenger,5,1.8
92928,delivery,6.5,2.16
